pc,func_name,file_name,line_no
140249094119554,"__libc_start_main",../csu/libc-start.c,308
140249068625965,"",,0
140249099507962,"",,0
94147532635504,"main",,0
140249067072190,"",,0
140249103380861,"",,0
140249067066072,"",,0
140249102568549,"",,0
140249343932810,"Nvbit::callback(CUctx_st*, int, int, char const*, void*, cudaError_enum*)",,0
140249103314445,"",,0
140249343964644,"nvbitToolsCallbackFunc(void*, CUtools_cb_domain_enum, unsigned int, void const*)",,0
140249099750978,"cudaMalloc",,0
140249103096382,"",,0
140249099697165,"",,0
140249102599301,"",,0
140249343724957,"nvbit_at_cuda_event",,0
140249102567683,"",,0
140249102521686,"",,0
140249102557896,"",,0
140249102533899,"",,0
140249102598821,"",,0
94147532635863,"main",,0
140249102562920,"",,0
94147532635384,"main",,0
94147532633485,"_start",,0
140249102569224,"pncclCommInitRank",,0
140249102534325,"",,0
